Entry	Entry name	Protein names	Gene names	Organism	Length	yourlist:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF	isomap:M20201112E5A08BB0B2D1C45B0C7BC3B55FD2655603D8DDF
Q04917	1433F_HUMAN	14-3-3 protein eta (Protein AS1)	YWHAH YWHA1	Homo sapiens (Human)	246	ENSG00000128245	
P27105	STOM_HUMAN	Stomatin (Erythrocyte band 7 integral membrane protein) (Erythrocyte membrane protein band 7.2) (Protein 7.2b)	STOM BND7 EPB72	Homo sapiens (Human)	288	ENSG00000148175	ENSG00000148175 -> P27105-1;P27105-2
P00387	NB5R3_HUMAN	NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1) [Cleaved into: NADH-cytochrome b5 reductase 3 membrane-bound form; NADH-cytochrome b5 reductase 3 soluble form]	CYB5R3 DIA1	Homo sapiens (Human)	301	ENSG00000100243	ENSG00000100243 -> P00387-1;P00387-2;P00387-3
P36542	ATPG_HUMAN	ATP synthase subunit gamma, mitochondrial (ATP synthase F1 subunit gamma) (F-ATPase gamma subunit)	ATP5F1C ATP5C ATP5C1 ATP5CL1	Homo sapiens (Human)	298	ENSG00000165629	ENSG00000165629 -> P36542-1;P36542-2
Q00325	MPCP_HUMAN	Phosphate carrier protein, mitochondrial (Phosphate transport protein) (PTP) (Solute carrier family 25 member 3)	SLC25A3 PHC OK/SW-cl.48	Homo sapiens (Human)	362	ENSG00000075415	ENSG00000075415 -> Q00325-1;Q00325-2
P62854	RS26_HUMAN	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	RPS26	Homo sapiens (Human)	115	ENSG00000197728	
P20618	PSB1_HUMAN	Proteasome subunit beta type-1 (EC 3.4.25.1) (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain)	PSMB1 PSC5	Homo sapiens (Human)	241	ENSG00000008018	
P08727	K1C19_HUMAN	Keratin, type I cytoskeletal 19 (Cytokeratin-19) (CK-19) (Keratin-19) (K19)	KRT19	Homo sapiens (Human)	400	ENSG00000171345	
Q14697	GANAB_HUMAN	Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)	GANAB G2AN KIAA0088	Homo sapiens (Human)	944	ENSG00000089597	ENSG00000089597 -> Q14697-1;Q14697-2;Q14697-3
Q13263	TIF1B_HUMAN	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-associated protein 1) (KAP-1) (KRAB-interacting protein 1) (KRIP-1) (Nuclear corepressor KAP-1) (RING finger protein 96) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	TRIM28 KAP1 RNF96 TIF1B	Homo sapiens (Human)	835	ENSG00000130726	ENSG00000130726 -> Q13263-1;Q13263-2
Q99714	HCD2_HUMAN	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2	Homo sapiens (Human)	261	ENSG00000072506	ENSG00000072506 -> Q99714-1;Q99714-2
P51858	HDGF_HUMAN	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	HDGF HMG1L2	Homo sapiens (Human)	240	ENSG00000143321	ENSG00000143321 -> P51858-1;P51858-2;P51858-3
Q15149	PLEC_HUMAN	Plectin (PCN) (PLTN) (Hemidesmosomal protein 1) (HD1) (Plectin-1)	PLEC PLEC1	Homo sapiens (Human)	4684	ENSG00000178209	ENSG00000178209 -> Q15149-1;Q15149-2;Q15149-3;Q15149-4;Q15149-5;Q15149-6;Q15149-7;Q15149-8;Q15149-9
O00231	PSD11_HUMAN	26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5)	PSMD11	Homo sapiens (Human)	422	ENSG00000108671	ENSG00000108671 -> O00231-1
P34897	GLYM_HUMAN	Serine hydroxymethyltransferase, mitochondrial (SHMT) (EC 2.1.2.1) (Glycine hydroxymethyltransferase) (Serine methylase)	SHMT2	Homo sapiens (Human)	504	ENSG00000182199	ENSG00000182199 -> P34897-1;P34897-2;P34897-3
P62280	RS11_HUMAN	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	158	ENSG00000142534	
P20700	LMNB1_HUMAN	Lamin-B1	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586	ENSG00000113368	
Q9H0U4	RAB1B_HUMAN	Ras-related protein Rab-1B	RAB1B	Homo sapiens (Human)	201	ENSG00000174903	
P05141	ADT2_HUMAN	ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]	SLC25A5 ANT2	Homo sapiens (Human)	298	ENSG00000005022	
P51149	RAB7A_HUMAN	Ras-related protein Rab-7a	RAB7A RAB7	Homo sapiens (Human)	207	ENSG00000075785	
P04080	CYTB_HUMAN	Cystatin-B (CPI-B) (Liver thiol proteinase inhibitor) (Stefin-B)	CSTB CST6 STFB	Homo sapiens (Human)	98	ENSG00000160213	
P28070	PSB4_HUMAN	Proteasome subunit beta type-4 (EC 3.4.25.1) (26 kDa prosomal protein) (HsBPROS26) (PROS-26) (Macropain beta chain) (Multicatalytic endopeptidase complex beta chain) (Proteasome beta chain) (Proteasome chain 3) (HsN3)	PSMB4 PROS26	Homo sapiens (Human)	264	ENSG00000159377	
P60866	RS20_HUMAN	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	RPS20	Homo sapiens (Human)	119	ENSG00000008988	ENSG00000008988 -> P60866-1;P60866-2
P37837	TALDO_HUMAN	Transaldolase (EC 2.2.1.2)	TALDO1 TAL TALDO TALDOR	Homo sapiens (Human)	337	ENSG00000177156	
P28066	PSA5_HUMAN	Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome zeta chain)	PSMA5	Homo sapiens (Human)	241	ENSG00000143106	ENSG00000143106 -> P28066-1;P28066-2
P62857	RS28_HUMAN	40S ribosomal protein S28 (Small ribosomal subunit protein eS28)	RPS28	Homo sapiens (Human)	69	ENSG00000233927	
P01903	DRA_HUMAN	HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)	HLA-DRA HLA-DRA1	Homo sapiens (Human)	254	ENSG00000204287	
Q05682	CALD1_HUMAN	Caldesmon (CDM)	CALD1 CAD CDM	Homo sapiens (Human)	793	ENSG00000122786	ENSG00000122786 -> Q05682-1;Q05682-3;Q05682-4;Q05682-5;Q05682-6
P78417	GSTO1_HUMAN	Glutathione S-transferase omega-1 (GSTO-1) (EC 2.5.1.18) (Glutathione S-transferase omega 1-1) (GSTO 1-1) (Glutathione-dependent dehydroascorbate reductase) (EC 1.8.5.1) (Monomethylarsonic acid reductase) (MMA(V) reductase) (EC 1.20.4.2) (S-(Phenacyl)glutathione reductase) (SPG-R)	GSTO1 GSTTLP28	Homo sapiens (Human)	241	ENSG00000148834	ENSG00000148834 -> P78417-1;P78417-2;P78417-3
P21291	CSRP1_HUMAN	Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141)	CSRP1 CSRP CYRP	Homo sapiens (Human)	193	ENSG00000159176	
Q06323	PSME1_HUMAN	Proteasome activator complex subunit 1 (11S regulator complex subunit alpha) (REG-alpha) (Activator of multicatalytic protease subunit 1) (Interferon gamma up-regulated I-5111 protein) (IGUP I-5111) (Proteasome activator 28 subunit alpha) (PA28a) (PA28alpha)	PSME1 IFI5111	Homo sapiens (Human)	249	ENSG00000092010	ENSG00000092010 -> Q06323-1;Q06323-2;Q06323-3
O15144	ARPC2_HUMAN	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	ARPC2 ARC34 PRO2446	Homo sapiens (Human)	300	ENSG00000163466	
Q01469	FABP5_HUMAN	Fatty acid-binding protein 5 (Epidermal-type fatty acid-binding protein) (E-FABP) (Fatty acid-binding protein, epidermal) (Psoriasis-associated fatty acid-binding protein homolog) (PA-FABP)	FABP5	Homo sapiens (Human)	135	ENSG00000164687	
P61981	1433G_HUMAN	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247	ENSG00000170027	
P14174	MIF_HUMAN	Macrophage migration inhibitory factor (MIF) (EC 5.3.2.1) (Glycosylation-inhibiting factor) (GIF) (L-dopachrome isomerase) (L-dopachrome tautomerase) (EC 5.3.3.12) (Phenylpyruvate tautomerase)	MIF GLIF MMIF	Homo sapiens (Human)	115	ENSG00000240972	
P61158	ARP3_HUMAN	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Homo sapiens (Human)	418	ENSG00000115091	
P60842	IF4A1_HUMAN	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406	ENSG00000161960	ENSG00000161960 -> P60842-1;P60842-2
P16401	H15_HUMAN	Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3)	H1-5 H1F5 HIST1H1B	Homo sapiens (Human)	226	ENSG00000184357	
P30086	PEBP1_HUMAN	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (HCNPpp) (Neuropolypeptide h3) (Prostatic-binding protein) (Raf kinase inhibitor protein) (RKIP) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	PEBP1 PBP PEBP	Homo sapiens (Human)	187	ENSG00000089220	
P31146	COR1A_HUMAN	Coronin-1A (Coronin-like protein A) (Clipin-A) (Coronin-like protein p57) (Tryptophan aspartate-containing coat protein) (TACO)	CORO1A CORO1	Homo sapiens (Human)	461	ENSG00000102879	
P50395	GDIB_HUMAN	Rab GDP dissociation inhibitor beta (Rab GDI beta) (Guanosine diphosphate dissociation inhibitor 2) (GDI-2)	GDI2 RABGDIB	Homo sapiens (Human)	445	ENSG00000057608	ENSG00000057608 -> P50395-1;P50395-2
P61626	LYSC_HUMAN	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ LZM	Homo sapiens (Human)	148	ENSG00000090382	
P55072	TERA_HUMAN	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP	Homo sapiens (Human)	806	ENSG00000165280	
P62701	RS4X_HUMAN	40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)	263	ENSG00000198034	
P09382	LEG1_HUMAN	Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)	LGALS1	Homo sapiens (Human)	135	ENSG00000100097	
P62314	SMD1_HUMAN	Small nuclear ribonucleoprotein Sm D1 (Sm-D1) (Sm-D autoantigen) (snRNP core protein D1)	SNRPD1	Homo sapiens (Human)	119	ENSG00000167088	
P63313	TYB10_HUMAN	Thymosin beta-10	TMSB10 PTMB10 THYB10	Homo sapiens (Human)	44	ENSG00000034510	
P27348	1433T_HUMAN	14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1)	YWHAQ	Homo sapiens (Human)	245	ENSG00000134308	
P12277	KCRB_HUMAN	Creatine kinase B-type (EC 2.7.3.2) (Brain creatine kinase) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase B-type) (CPK-B)	CKB CKBB	Homo sapiens (Human)	381	ENSG00000166165	
P14866	HNRPL_HUMAN	Heterogeneous nuclear ribonucleoprotein L (hnRNP L)	HNRNPL HNRPL P/OKcl.14	Homo sapiens (Human)	589	ENSG00000104824	ENSG00000104824 -> P14866-1;P14866-2
P40925	MDHC_HUMAN	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Cytosolic malate dehydrogenase) (Diiodophenylpyruvate reductase) (EC 1.1.1.96)	MDH1 MDHA	Homo sapiens (Human)	334	ENSG00000014641	ENSG00000014641 -> P40925-1
P62424	RL7A_HUMAN	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266	ENSG00000148303	
P61160	ARP2_HUMAN	Actin-related protein 2 (Actin-like protein 2)	ACTR2 ARP2	Homo sapiens (Human)	394	ENSG00000138071	ENSG00000138071 -> P61160-1;P61160-2
P14625	ENPL_HUMAN	Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog)	HSP90B1 GRP94 TRA1	Homo sapiens (Human)	803	ENSG00000166598	
P62906	RL10A_HUMAN	60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A NEDD6	Homo sapiens (Human)	217	ENSG00000198755	
P49773	HINT1_HUMAN	Histidine triad nucleotide-binding protein 1 (EC 3.-.-.-) (Adenosine 5'-monophosphoramidase) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1)	HINT1 HINT PKCI1 PRKCNH1	Homo sapiens (Human)	126	ENSG00000169567	
P18206	VINC_HUMAN	Vinculin (Metavinculin) (MV)	VCL	Homo sapiens (Human)	1134	ENSG00000035403	ENSG00000035403 -> P18206-1;P18206-2
P62304	RUXE_HUMAN	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92	ENSG00000182004	
Q16629	SRSF7_HUMAN	Serine/arginine-rich splicing factor 7 (Splicing factor 9G8) (Splicing factor, arginine/serine-rich 7)	SRSF7 SFRS7	Homo sapiens (Human)	238	ENSG00000115875	ENSG00000115875 -> Q16629-1;Q16629-3;Q16629-4
Q562R1	ACTBL_HUMAN	Beta-actin-like protein 2 (Kappa-actin)	ACTBL2	Homo sapiens (Human)	376	ENSG00000169067	
Q01130	SRSF2_HUMAN	Serine/arginine-rich splicing factor 2 (Protein PR264) (Splicing component, 35 kDa) (Splicing factor SC35) (SC-35) (Splicing factor, arginine/serine-rich 2)	SRSF2 SFRS2	Homo sapiens (Human)	221	ENSG00000161547	ENSG00000161547 -> Q01130-1;Q01130-2
P15311	EZRI_HUMAN	Ezrin (Cytovillin) (Villin-2) (p81)	EZR VIL2	Homo sapiens (Human)	586	ENSG00000092820	
Q01995	TAGL_HUMAN	Transgelin (22 kDa actin-binding protein) (Protein WS3-10) (Smooth muscle protein 22-alpha) (SM22-alpha)	TAGLN SM22 WS3-10	Homo sapiens (Human)	201	ENSG00000149591	
Q07021	C1QBP_HUMAN	Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)	C1QBP GC1QBP HABP1 SF2P32	Homo sapiens (Human)	282	ENSG00000108561	
P10599	THIO_HUMAN	Thioredoxin (Trx) (ATL-derived factor) (ADF) (Surface-associated sulphydryl protein) (SASP) (allergen Hom s Trx)	TXN TRDX TRX TRX1	Homo sapiens (Human)	105	ENSG00000136810	ENSG00000136810 -> P10599-1;P10599-2
P46777	RL5_HUMAN	60S ribosomal protein L5 (Large ribosomal subunit protein uL18)	RPL5 MSTP030	Homo sapiens (Human)	297	ENSG00000122406	
P27824	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	Homo sapiens (Human)	592	ENSG00000127022	ENSG00000127022 -> P27824-1
P19338	NUCL_HUMAN	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	710	ENSG00000115053	
P30101	PDIA3_HUMAN	Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60)	PDIA3 ERP57 ERP60 GRP58	Homo sapiens (Human)	505	ENSG00000167004	
P04792	HSPB1_HUMAN	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205	ENSG00000106211	
P05109	S10A8_HUMAN	Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A)	S100A8 CAGA CFAG MRP8	Homo sapiens (Human)	93	ENSG00000143546	
P08758	ANXA5_HUMAN	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CBP-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	ANXA5 ANX5 ENX2 PP4	Homo sapiens (Human)	320	ENSG00000164111	
P04083	ANXA1_HUMAN	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35)	ANXA1 ANX1 LPC1	Homo sapiens (Human)	346	ENSG00000135046	
Q15233	NONO_HUMAN	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	NONO NRB54	Homo sapiens (Human)	471	ENSG00000147140	ENSG00000147140 -> Q15233-1;Q15233-2
P07237	PDIA1_HUMAN	Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55)	P4HB ERBA2L PDI PDIA1 PO4DB	Homo sapiens (Human)	508	ENSG00000185624	
Q9BUF5	TBB6_HUMAN	Tubulin beta-6 chain (Tubulin beta class V)	TUBB6	Homo sapiens (Human)	446	ENSG00000176014	
P13639	EF2_HUMAN	Elongation factor 2 (EF-2)	EEF2 EF2	Homo sapiens (Human)	858	ENSG00000167658	
P02751	FINC_HUMAN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	Homo sapiens (Human)	2477	ENSG00000115414	ENSG00000115414 -> P02751-1;P02751-10;P02751-13;P02751-14;P02751-15;P02751-16;P02751-17;P02751-3;P02751-7;P02751-8;P02751-9
P62269	RS18_HUMAN	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E	Homo sapiens (Human)	152	ENSG00000231500	
Q01518	CAP1_HUMAN	Adenylyl cyclase-associated protein 1 (CAP 1)	CAP1 CAP	Homo sapiens (Human)	475	ENSG00000131236	ENSG00000131236 -> Q01518-1;Q01518-2
P05783	K1C18_HUMAN	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	KRT18 CYK18 PIG46	Homo sapiens (Human)	430	ENSG00000111057	
P0CG48	UBC_HUMAN	Polyubiquitin-C [Cleaved into: Ubiquitin]	UBC	Homo sapiens (Human)	685	ENSG00000150991	
P00441	SODC_HUMAN	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1) (Superoxide dismutase 1) (hSod1)	SOD1	Homo sapiens (Human)	154	ENSG00000142168	
P35579	MYH9_HUMAN	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	MYH9	Homo sapiens (Human)	1960	ENSG00000100345	ENSG00000100345 -> P35579-1
P40926	MDHM_HUMAN	Malate dehydrogenase, mitochondrial (EC 1.1.1.37)	MDH2	Homo sapiens (Human)	338	ENSG00000146701	ENSG00000146701 -> P40926-1;P40926-2
P68366	TBA4A_HUMAN	Tubulin alpha-4A chain (Alpha-tubulin 1) (Testis-specific alpha-tubulin) (Tubulin H2-alpha) (Tubulin alpha-1 chain)	TUBA4A TUBA1	Homo sapiens (Human)	448	ENSG00000127824	ENSG00000127824 -> P68366-1;P68366-2
P00747	PLMN_HUMAN	Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]	PLG	Homo sapiens (Human)	810	ENSG00000122194	
Q05639	EF1A2_HUMAN	Elongation factor 1-alpha 2 (EF-1-alpha-2) (Eukaryotic elongation factor 1 A-2) (eEF1A-2) (Statin-S1)	EEF1A2 EEF1AL STN	Homo sapiens (Human)	463	ENSG00000101210	
Q14103	HNRPD_HUMAN	Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1)	HNRNPD AUF1 HNRPD	Homo sapiens (Human)	355	ENSG00000138668	ENSG00000138668 -> Q14103-1;Q14103-2;Q14103-3
P27797	CALR_HUMAN	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR CRTC	Homo sapiens (Human)	417	ENSG00000179218	
P25705	ATPA_HUMAN	ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)	ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM	Homo sapiens (Human)	553	ENSG00000152234	ENSG00000152234 -> P25705-1;P25705-2;P25705-3
P10909	CLUS_HUMAN	Clusterin (Aging-associated gene 4 protein) (Apolipoprotein J) (Apo-J) (Complement cytolysis inhibitor) (CLI) (Complement-associated protein SP-40,40) (Ku70-binding protein 1) (NA1/NA2) (Sulfated glycoprotein 2) (SGP-2) (Testosterone-repressed prostate message 2) (TRPM-2) [Cleaved into: Clusterin beta chain (ApoJalpha) (Complement cytolysis inhibitor a chain); Clusterin alpha chain (ApoJbeta) (Complement cytolysis inhibitor b chain)]	CLU APOJ CLI KUB1 AAG4	Homo sapiens (Human)	449	ENSG00000120885	ENSG00000120885 -> P10909-1
P68363	TBA1B_HUMAN	Tubulin alpha-1B chain (Alpha-tubulin ubiquitous) (Tubulin K-alpha-1) (Tubulin alpha-ubiquitous chain) [Cleaved into: Detyrosinated tubulin alpha-1B chain]	TUBA1B	Homo sapiens (Human)	451	ENSG00000123416	ENSG00000123416 -> P68363-1
P68133	ACTS_HUMAN	Actin, alpha skeletal muscle (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	ACTA1 ACTA	Homo sapiens (Human)	377	ENSG00000143632	
P01023	A2MG_HUMAN	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	Homo sapiens (Human)	1474	ENSG00000175899	
P68032	ACTC_HUMAN	Actin, alpha cardiac muscle 1 (Alpha-cardiac actin) [Cleaved into: Actin, alpha cardiac muscle 1, intermediate form]	ACTC1 ACTC	Homo sapiens (Human)	377	ENSG00000159251	
P00558	PGK1_HUMAN	Phosphoglycerate kinase 1 (EC 2.7.2.3) (Cell migration-inducing gene 10 protein) (Primer recognition protein 2) (PRP 2)	PGK1 PGKA MIG10 OK/SW-cl.110	Homo sapiens (Human)	417	ENSG00000102144	ENSG00000102144 -> P00558-1;P00558-2
P06576	ATPB_HUMAN	ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)	ATP5F1B ATP5B ATPMB ATPSB	Homo sapiens (Human)	529	ENSG00000110955	
P07195	LDHB_HUMAN	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)	LDHB	Homo sapiens (Human)	334	ENSG00000111716	
P62258	1433E_HUMAN	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255	ENSG00000108953	ENSG00000108953 -> P62258-1;P62258-2
P01011	AACT_HUMAN	Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]	SERPINA3 AACT GIG24 GIG25	Homo sapiens (Human)	423	ENSG00000196136	ENSG00000196136 -> P01011-1;P01011-2
P00338	LDHA_HUMAN	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	LDHA PIG19	Homo sapiens (Human)	332	ENSG00000134333	ENSG00000134333 -> P00338-1;P00338-2;P00338-3;P00338-4;P00338-5
P04350	TBB4A_HUMAN	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A TUBB4 TUBB5	Homo sapiens (Human)	444	ENSG00000104833	
Q13885	TBB2A_HUMAN	Tubulin beta-2A chain (Tubulin beta class IIa)	TUBB2A TUBB2	Homo sapiens (Human)	445	ENSG00000137267	
Q9BVA1	TBB2B_HUMAN	Tubulin beta-2B chain	TUBB2B	Homo sapiens (Human)	445	ENSG00000137285	
P06748	NPM_HUMAN	Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin)	NPM1 NPM	Homo sapiens (Human)	294	ENSG00000181163	ENSG00000181163 -> P06748-1;P06748-2;P06748-3
P68371	TBB4B_HUMAN	Tubulin beta-4B chain (Tubulin beta-2 chain) (Tubulin beta-2C chain)	TUBB4B TUBB2C	Homo sapiens (Human)	445	ENSG00000188229	
P08670	VIME_HUMAN	Vimentin	VIM	Homo sapiens (Human)	466	ENSG00000026025	
P06733	ENOA_HUMAN	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434	ENSG00000074800	ENSG00000074800 -> P06733-1
